Location,Scooter Id ,Charge in Km,Bonus zone,No parking zone,Discount,Service fee,date,time
hallstadt,6369.0,33.0,No,No,0.0,Yes,01/04/2025,9:00:00 AM
hallstadt,6935.0,35.0,No,No,0.0,Yes,01/04/2025,9:00:00 AM
hallstadt,7810.0,35.0,No,No,0.0,Yes,01/04/2025,9:00:00 AM
hallstadt,7136.0,16.0,No,No,0.0,Yes,01/04/2025,9:00:00 AM
hallstadt,6778.0,34.0,No,No,0.0,Yes,01/04/2025,9:00:00 AM
hallstadt,7287.0,35.0,No,No,-20.0,Yes,01/04/2025,9:00:00 AM
hallstadt,7623.0,35.0,No,No,0.0,Yes,01/04/2025,9:00:00 AM
hallstadt,6951.0,32.0,No,No,-20.0,Yes,01/04/2025,9:00:00 AM
hallstadt,7400.0,35.0,No,No,-20.0,Yes,01/04/2025,9:00:00 AM
hallstadt,6490.0,31.0,No,No,0.0,Yes,01/04/2025,9:00:00 AM
hallstadt,6470.0,35.0,No,No,0.0,Yes,01/04/2025,9:00:00 AM
hallstadt,10033.0,22.0,No,Yes,0.0,No,01/04/2025,9:00:00 AM
hallstadt,7793.0,34.0,No,No,0.0,Yes,01/04/2025,9:00:00 AM
hallstadt,7183.0,34.0,No,No,0.0,Yes,01/04/2025,9:00:00 AM
Gutenbergstraße,7739.0,22.0,No,No,0.0,Yes,01/04/2025,9:00:00 AM
Gutenbergstraße,6624.0,29.0,No,No,0.0,Yes,01/04/2025,9:00:00 AM
Gutenbergstraße,7459.0,26.0,No,No,0.0,Yes,01/04/2025,9:00:00 AM
Gutenbergstraße,6449.0,35.0,No,No,0.0,Yes,01/04/2025,9:00:00 AM
Gutenbergstraße,8705.0,35.0,No,No,0.0,Yes,01/04/2025,9:00:00 AM
Gutenbergstraße,10022.0,26.0,No,No,0.0,Yes,01/04/2025,9:00:00 AM
Gutenbergstraße,6836.0,27.0,No,No,0.0,Yes,01/04/2025,9:00:00 AM
An d. Spinnerei,,,No,No,0.0,Yes,01/04/2025,9:00:00 AM
Feldkirchenstraße,7786.0,29.0,No,No,0.0,Yes,01/04/2025,9:00:00 AM
Zob,10159.0,32.0,No,No,0.0,Yes,01/04/2025,9:00:00 AM
Zob,6518.0,22.0,No,No,0.0,Yes,01/04/2025,9:00:00 AM
Zob,10100.0,27.0,No,No,0.0,Yes,01/04/2025,9:00:00 AM
Zob,10637.0,31.0,No,No,0.0,Yes,01/04/2025,9:00:00 AM
Zob,6802.0,27.0,No,No,0.0,Yes,01/04/2025,9:00:00 AM
Zob,7331.0,32.0,No,No,0.0,Yes,01/04/2025,9:00:00 AM
Zob,7435.0,31.0,No,No,0.0,Yes,01/04/2025,9:00:00 AM
Zob,10122.0,23.0,No,No,0.0,Yes,01/04/2025,9:00:00 AM
Zob,8719.0,35.0,No,No,0.0,Yes,01/04/2025,9:00:00 AM
Zob,7660.0,26.0,No,No,0.0,Yes,01/04/2025,9:00:00 AM
Zob,7024.0,22.0,No,No,0.0,Yes,01/04/2025,9:00:00 AM
Zob,1011.0,28.0,No,No,0.0,Yes,01/04/2025,9:00:00 AM
hallstadt,6369.0,33.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
hallstadt,6935.0,35.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
hallstadt,7810.0,35.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
hallstadt,7136.0,16.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
hallstadt,6778.0,34.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
hallstadt,10127.0,19.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
hallstadt,7287.0,35.0,No,No,-20.0,Yes,01/04/2025,1:00:00 PM
hallstadt,7623.0,35.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
hallstadt,7801.0,19.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
hallstadt,7400.0,35.0,No,No,-20.0,Yes,01/04/2025,1:00:00 PM
hallstadt,6951.0,32.0,No,No,-20.0,Yes,01/04/2025,1:00:00 PM
hallstadt,6470.0,35.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
hallstadt,10033.0,22.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
hallstadt,6490.0,31.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
hallstadt,7129.0,24.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
hallstadt,7793.0,34.0,No,No,-20.0,Yes,01/04/2025,1:00:00 PM
hallstadt,7183.0,33.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
Gutenbergstraße,7739.0,24.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
Gutenbergstraße,6624.0,29.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
Gutenbergstraße,10022.0,26.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
Gutenbergstraße,6449.0,35.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
Gutenbergstraße,6836.0,27.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
Gutenbergstraße,8705.0,35.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
Gutenbergstraße,7459.0,26.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
An d. Spinnerei,8719.0,31.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
Feldkirchenstraße,7786.0,29.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
Zob,7435.0,31.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
Zob,6802.0,27.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
Zob,6518.0,22.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
Zob,10100.0,27.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
Zob,10159.0,32.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
Zob,10637.0,34.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
Zob,10122.0,23.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
Zob,10111.0,27.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
Zob,7024.0,22.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
Zob,7660.0,26.0,No,No,0.0,Yes,01/04/2025,1:00:00 PM
hallstadt,7351.0,18.0,No,No,0.0,Yes,01/04/2025,5:00:00 PM
