OBJECTID,MDRC,NAME_FRE,NAME_DUT,NAME_BI,Quartier2,Area_km2,Dens_2010,Dens_2011,Pop_2010,Pop_2011
1,801,INDUSTRIE OTAN,INDUSTRIE NATO,NATO / OTAN,Industrie Otan,2.4057,125.5331,133.4309,302,321
2,61,MOORTEBEEK - PETERBOS,MOORTEBEEK - PETERBOS,MOORTEBEEK - PETERBOS,Moortebeek - Peterbos,1.0755,8158.8441,8273.2074,8775,8898
3,76,MUTSAARD,MUTSAARD,MUTSAARD,Mutsaard,1.3688,9124.9142,9286.3718,12490,12711
4,84,AVENUE LEOPOLD III,LEOPOLD III LAAN,AVENUE LEOPOLD III LAAN,Avenue Leopold Iii,1.1983,6417.4247,6480.8479,7690,7766
5,81,GARE DE SCHAERBEEK,SCHAARBEEK STATION,SCHAARBEEK STATION / GARE DE SCHAERBEEK,Gare De Schaerbeek,0.3788,19109.3395,20244.4433,7239,7669
6,800,INDUSTRIE NORD,INDUSTRIE NOORD,INDUSTRIE NOORD / NORD,Industrie Nord,6.527,63.2759,65.7273,413,429
7,902,BOTANIQUE,KRUIDTUIN,KRUIDTUIN / BOTANIQUE,Botanique,0.0623,0,0,0,0
8,100,CHAUSSEE DE WAVRE - SAINT-JULIEN ,WAVERSESTEENWEG - SINT-JULIAAN,WAVERSESTWG - ST-JULIAAN / CHEE DE WAVRE - ST-JULIEN ,Chaussee De Wavre - Saint-Julien ,1.3723,11255.3103,11482.6609,15446,15758
9,900,DOMAINE ROYAL LAEKEN,KONINKLIJK DOMEIN LAKEN,KONINKLIJK DOMEIN LAKEN / DOMAINE ROYAL LAEKEN,Domaine Royal Laeken,2.7484,9.0962,12.007,0,0
10,57,SCHERDEMAEL,SCHERDEMAAL,SCHERDEMA(A)(E)L,Scherdemael,1.0557,9325.7426,9487.7236,9845,10016
11,802,DELTA,DELTA,DELTA,Delta,0.2497,0,0,0,0
12,55,NEERPEDE,NEERPEDE,NEERPEDE,Neerpede,3.8934,282.0186,286.385,1098,1115
13,56,BON AIR,GOEDE LUCHT,GOEDE LUCHT / BON AIR,Bon Air,0.3035,5324.547,5189.4563,1616,1575
14,21,QUARTIER NORD,NOORDWIJK,NOORDWIJK / QUARTIER NORD,Quartier Nord,1.3114,10737.0524,11042.8232,14081,14482
15,903,CINQUANTENAIRE,JUBELPARK,JUBELPARK / CINQUANTENAIRE,Cinquantenaire,0.377,61.0047,61.0047,0,0
16,24,CHAUSSEE DE HAECHT,HAACHTSE STEENWEG,HAACHTSE STWG. / CHEE DE HAECHT,Chaussee De Haecht,0.7252,23903.0915,24996.5528,17335,18128
17,69,GANSHOREN CENTRE,GANSHOREN CENTRUM,GANSHOREN CENTR(UM)(E),Ganshoren Centre,0.8548,12656.3176,13037.68,10819,11145
18,118,SAINT-DENIS - NEERSTALLE,SINT-DENIJS - NEERSTALLE,ST-DENI(J)S - NEERSTALLE,Saint-Denis - Neerstalle,0.7958,9645.1548,9805.9912,7676,7804
19,89,GRIBAUMONT,GRIBAUMONT,GRIBAUMONT,Gribaumont,1.0105,10522.6177,10733.4066,10633,10846
