Category;Managed by;Beheerder;Name;Naam;Postal code;Municipality;Gemeente;Google Maps;Google Street View;Geo Point;Geo Shape;source;last_update
Bus;TEC;TEC;UCCLE Racing;UCCLE Racing;1180;Uccle;Ukkel;https://www.google.com/maps/search/?api=1&query=50.792391%2C4.374296;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.792391%2C4.374296;50.7923909999, 4.3742959993;"{""coordinates"": [4.3742959993, 50.7923909999], ""type"": ""Point""}";TEC;2025-05-16T02:00:00+02:00
Bus;TEC;TEC;WOLUWE Métro Crainhem;WOLUWE Métro Crainhem;1200;Woluwe-Saint-Lambert;Sint-Lambrechts-Woluwe;https://www.google.com/maps/search/?api=1&query=50.84836%2C4.459168;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84836%2C4.459168;50.8483600002, 4.459168;"{""coordinates"": [4.459168, 50.8483600002], ""type"": ""Point""}";TEC;2025-05-16T02:00:00+02:00
Bus;TEC;TEC;BRUXELLES Parc Léopold;BRUXELLES Parc Léopold;1040;Bruxelles;Brussel;https://www.google.com/maps/search/?api=1&query=50.840069%2C4.379893;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.840069%2C4.379893;50.8400690003, 4.3798930004;"{""coordinates"": [4.3798930004, 50.8400690003], ""type"": ""Point""}";TEC;2025-05-16T02:00:00+02:00
Bus;TEC;TEC;UCCLE Petite Espinette;UCCLE Petite Espinette;1180;Uccle;Ukkel;https://www.google.com/maps/search/?api=1&query=50.770139%2C4.382539;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.770139%2C4.382539;50.7701390001, 4.3825389993;"{""coordinates"": [4.3825389993, 50.7701390001], ""type"": ""Point""}";TEC;2025-05-16T02:00:00+02:00
Bus;TEC;TEC;UCCLE Observatoire;UCCLE Observatoire;1180;Uccle;Ukkel;https://www.google.com/maps/search/?api=1&query=50.799852%2C4.358384;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.799852%2C4.358384;50.7998519996, 4.3583839998;"{""coordinates"": [4.3583839998, 50.7998519996], ""type"": ""Point""}";TEC;2025-05-16T02:00:00+02:00
Bus;TEC;TEC;WATERMAEL-BOITSFORT Boitsfort Gare;WATERMAEL-BOITSFORT Boitsfort Gare;1170;Watermael-Boitsfort;Watermaal-Bosvoorde;https://www.google.com/maps/search/?api=1&query=50.795369%2C4.406764;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.795369%2C4.406764;50.795369, 4.406764;"{""coordinates"": [4.406764, 50.795369], ""type"": ""Point""}";TEC;2025-05-16T02:00:00+02:00
Bus;TEC;TEC;WATERMAEL-BOITSFORT Drève des Bonniers;WATERMAEL-BOITSFORT Drève des Bonniers;1170;Watermael-Boitsfort;Watermaal-Bosvoorde;https://www.google.com/maps/search/?api=1&query=50.778302%2C4.432924;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.778302%2C4.432924;50.7783020004, 4.4329240005;"{""coordinates"": [4.4329240005, 50.7783020004], ""type"": ""Point""}";TEC;2025-05-16T02:00:00+02:00
Bus;TEC;TEC;UCCLE Bourdon;UCCLE Bourdon;1180;Uccle;Ukkel;https://www.google.com/maps/search/?api=1&query=50.787141%2C4.32992;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.787141%2C4.32992;50.7871410004, 4.3299200002;"{""coordinates"": [4.3299200002, 50.7871410004], ""type"": ""Point""}";TEC;2025-05-16T02:00:00+02:00
Bus;TEC;TEC;UCCLE Calevoet;UCCLE Calevoet;1180;Uccle;Ukkel;https://www.google.com/maps/search/?api=1&query=50.791277%2C4.332739;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.791277%2C4.332739;50.7912770003, 4.332739;"{""coordinates"": [4.332739, 50.7912770003], ""type"": ""Point""}";TEC;2025-05-16T02:00:00+02:00
Bus;TEC;TEC;ETTERBEEK Louis Hap;ETTERBEEK Louis Hap;1040;Etterbeek;Etterbeek;https://www.google.com/maps/search/?api=1&query=50.834446%2C4.388006;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.834446%2C4.388006;50.8344460003, 4.3880060003;"{""coordinates"": [4.3880060003, 50.8344460003], ""type"": ""Point""}";TEC;2025-05-16T02:00:00+02:00
Bus;TEC;TEC;UCCLE Chemin des Pins;UCCLE Chemin des Pins;1180;Uccle;Ukkel;https://www.google.com/maps/search/?api=1&query=50.776431%2C4.382721;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.776431%2C4.382721;50.7764310002, 4.3827210002;"{""coordinates"": [4.3827210002, 50.7764310002], ""type"": ""Point""}";TEC;2025-05-16T02:00:00+02:00
Bus;TEC;TEC;IXELLES Avenue Lepoutre;IXELLES Avenue Lepoutre;1050;Ixelles;Elsene;https://www.google.com/maps/search/?api=1&query=50.819679%2C4.360443;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.819679%2C4.360443;50.8196789996, 4.3604430007;"{""coordinates"": [4.3604430007, 50.8196789996], ""type"": ""Point""}";TEC;2025-05-16T02:00:00+02:00
Bus;TEC;TEC;UCCLE Crématorium;UCCLE Crématorium;1180;Uccle;Ukkel;https://www.google.com/maps/search/?api=1&query=50.785102%2C4.328427;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.785102%2C4.328427;50.7851019997, 4.3284270001;"{""coordinates"": [4.3284270001, 50.7851019997], ""type"": ""Point""}";TEC;2025-05-16T02:00:00+02:00
Bus;TEC;TEC;UCCLE Avenue Van Bever;UCCLE Avenue Van Bever;1180;Uccle;Ukkel;https://www.google.com/maps/search/?api=1&query=50.78391%2C4.378618;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.78391%2C4.378618;50.7839099998, 4.3786180006;"{""coordinates"": [4.3786180006, 50.7839099998], ""type"": ""Point""}";TEC;2025-05-16T02:00:00+02:00
Bus;TEC;TEC;WATERMAEL-BOITSFORT Etangs;WATERMAEL-BOITSFORT Etangs;1170;Watermael-Boitsfort;Watermaal-Bosvoorde;https://www.google.com/maps/search/?api=1&query=50.793912%2C4.41806;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.793912%2C4.41806;50.793912, 4.4180599998;"{""coordinates"": [4.4180599998, 50.793912], ""type"": ""Point""}";TEC;2025-05-16T02:00:00+02:00
Bus;TEC;TEC;AUDERGHEM Eglise Saint-Julien;AUDERGHEM Eglise Saint-Julien;1160;Auderghem;Oudergem;https://www.google.com/maps/search/?api=1&query=50.820602%2C4.409496;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.820602%2C4.409496;50.8206020004, 4.4094959993;"{""coordinates"": [4.4094959993, 50.8206020004], ""type"": ""Point""}";TEC;2025-05-16T02:00:00+02:00
Bus;TEC;TEC;ETTERBEEK Avenue de la Chasse (Av. Auderghem);ETTERBEEK Avenue de la Chasse (Av. Auderghem);1040;Etterbeek;Etterbeek;https://www.google.com/maps/search/?api=1&query=50.830906%2C4.390086;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.830906%2C4.390086;50.8309059996, 4.3900859997;"{""coordinates"": [4.3900859997, 50.8309059996], ""type"": ""Point""}";TEC;2025-05-16T02:00:00+02:00
Bus;TEC;TEC;UCCLE Chemin des Pins;UCCLE Chemin des Pins;1180;Uccle;Ukkel;https://www.google.com/maps/search/?api=1&query=50.776431%2C4.382494;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.776431%2C4.382494;50.7764309996, 4.3824939995;"{""coordinates"": [4.3824939995, 50.7764309996], ""type"": ""Point""}";TEC;2025-05-16T02:00:00+02:00
Bus;TEC;TEC;SAINT-GILLES Hôtel des Monnaies;SAINT-GILLES Hôtel des Monnaies;1060;Saint-Gilles;Sint-Gillis;https://www.google.com/maps/search/?api=1&query=50.830738%2C4.347773;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.830738%2C4.347773;50.8307380002, 4.3477730003;"{""coordinates"": [4.3477730003, 50.8307380002], ""type"": ""Point""}";TEC;2025-05-16T02:00:00+02:00
Bus;TEC;TEC;UCCLE Avenue Gobert;UCCLE Avenue Gobert;1180;Uccle;Ukkel;https://www.google.com/maps/search/?api=1&query=50.808363%2C4.370271;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.808363%2C4.370271;50.8083630001, 4.3702709997;"{""coordinates"": [4.3702709997, 50.8083630001], ""type"": ""Point""}";TEC;2025-05-16T02:00:00+02:00
Bus;TEC;TEC;UCCLE Statuaires;UCCLE Statuaires;1180;Uccle;Ukkel;https://www.google.com/maps/search/?api=1&query=50.803785%2C4.348593;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.803785%2C4.348593;50.8037849996, 4.3485930005;"{""coordinates"": [4.3485930005, 50.8037849996], ""type"": ""Point""}";TEC;2025-05-16T02:00:00+02:00
Bus;TEC;TEC;WATERMAEL-BOITSFORT Boitsfort Gare;WATERMAEL-BOITSFORT Boitsfort Gare;1170;Watermael-Boitsfort;Watermaal-Bosvoorde;https://www.google.com/maps/search/?api=1&query=50.795511%2C4.407573;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.795511%2C4.407573;50.7955110001, 4.4075730001;"{""coordinates"": [4.4075730001, 50.7955110001], ""type"": ""Point""}";TEC;2025-05-16T02:00:00+02:00
Bus;TEC;TEC;BRUXELLES Midi;BRUXELLES Midi;1060;Saint-Gilles;Sint-Gillis;https://www.google.com/maps/search/?api=1&query=50.836373%2C4.338615;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.836373%2C4.338615;50.8363730003, 4.3386149997;"{""coordinates"": [4.3386149997, 50.8363730003], ""type"": ""Point""}";TEC;2025-05-16T02:00:00+02:00
Bus;TEC;TEC;AUDERGHEM Shopping;AUDERGHEM Shopping;1160;Auderghem;Oudergem;https://www.google.com/maps/search/?api=1&query=50.815302%2C4.425735;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.815302%2C4.425735;50.8153020004, 4.4257349993;"{""coordinates"": [4.4257349993, 50.8153020004], ""type"": ""Point""}";TEC;2025-05-16T02:00:00+02:00
Bus;TEC;TEC;UCCLE Fort Jaco;UCCLE Fort Jaco;1180;Uccle;Ukkel;https://www.google.com/maps/search/?api=1&query=50.789683%2C4.374766;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.789683%2C4.374766;50.7896830004, 4.3747659998;"{""coordinates"": [4.3747659998, 50.7896830004], ""type"": ""Point""}";TEC;2025-05-16T02:00:00+02:00
