date,lat,lon,temp,feels_like,temp_min,temp_max,pressure,humidity,weather_main,weather_desc,wind_speed,wind_deg,clouds_all,visibility,sunrise,sunset
2024-09-01 11:00,50.8505,4.3488,296.9,297.37,295.79,298.92,1014,78,Clouds,broken clouds,3.71,101,80,10000,06:56,20:28
2024-09-02 11:00,50.8534,4.347,297.5,297.87,296.23,298.65,1013,72,Clear,clear sky,2.06,230,0,10000,06:58,20:26
2024-09-03 11:00,50.8534,4.347,293.86,294.18,292.93,294.87,1015,84,Clear,clear sky,2.06,210,0,10000,07:00,20:24
2024-09-04 11:00,50.8505,4.3488,290.68,290.81,289.68,291.49,1017,89,Clouds,broken clouds,1.03,0,75,10000,07:01,20:21
2024-09-05 11:00,50.8505,4.3488,290.65,290.86,290.03,291.38,1009,92,Drizzle,light intensity drizzle,4.63,50,100,6000,07:03,20:19
2024-09-06 11:00,50.8467,4.3526,290.79,291.01,289.87,291.9,1010,92,Rain,light rain,1.54,210,75,3500,07:04,20:17
2024-09-07 11:00,50.8534,4.347,291.91,292.14,291.08,293.13,1011,88,Clear,clear sky,1.03,0,0,10000,07:06,20:15
2024-09-08 11:00,50.8534,4.347,291.07,290.98,290.01,292.05,1010,79,Clouds,few clouds,6.17,200,20,10000,07:07,20:13
2024-09-09 11:00,50.8534,4.347,289.1,289.15,288.29,290.32,1005,92,Rain,light rain,3.09,320,75,7000,07:09,20:10
2024-09-10 11:00,50.8534,4.347,288.51,288.24,287.39,289.27,1012,82,Clouds,scattered clouds,6.17,240,40,10000,07:10,20:08
2024-09-11 11:00,50.8505,4.3488,285.62,285.06,284.72,286.41,1008,82,Clouds,scattered clouds,6.87,271,48,10000,07:12,20:06
2024-09-12 11:00,50.8534,4.347,284.59,283.83,283.66,285.81,1013,78,Rain,light rain,4.12,250,20,10000,07:13,20:04
2024-09-13 11:00,50.8534,4.347,286.47,286.02,284.96,288.1,1024,83,Clear,clear sky,1.54,300,0,10000,07:15,20:01
2024-09-14 11:00,50.8473,4.3489,286.9,286.31,285.61,288.59,1031,76,Clear,clear sky,0.51,0,0,10000,07:16,19:59
2024-09-15 11:00,50.8467,4.3526,287.76,287.26,286.3,289.12,1028,76,Clouds,few clouds,2.57,270,20,10000,07:18,19:57
2024-09-16 11:00,50.8503,4.3517,288.3,288.3,287.14,289.46,1025,93,Clouds,broken clouds,2.06,280,75,10000,07:19,19:54
2024-09-17 11:00,50.8473,4.3489,289.69,289.62,288.33,290.85,1028,85,Clouds,scattered clouds,5.66,40,40,10000,07:21,19:52
2024-09-18 11:00,50.8534,4.347,287.95,288.04,287.29,289.17,1026,98,Mist,mist,3.09,60,100,4000,07:23,19:50
2024-09-19 11:00,50.8467,4.3526,290.98,291.04,290.03,292.45,1023,85,Clear,clear sky,2.57,70,0,10000,07:24,19:48
2024-09-20 11:00,50.8505,4.3488,290.42,290.34,289.23,291.92,1020,82,Clear,clear sky,2.57,80,0,10000,07:26,19:45
2024-09-21 11:00,50.8534,4.347,292.16,292.15,291.08,293.66,1019,78,Clear,clear sky,1.54,120,0,10000,07:27,19:43
2024-09-22 11:00,50.8534,4.347,291.56,291.55,290.34,293.06,1015,80,Clear,clear sky,0.51,0,0,10000,07:29,19:41
2024-09-23 11:00,50.8534,4.347,290.56,290.58,289.83,291.43,1009,85,Clouds,broken clouds,3.6,190,75,10000,07:30,19:39
2024-09-24 11:00,50.8534,4.347,289.56,289.42,288.34,290.43,1003,83,Clouds,few clouds,4.12,190,20,10000,07:32,19:36
2024-09-25 11:00,50.8534,4.347,287.35,287.2,286.46,288.16,1004,91,Rain,light rain,3.09,210,75,10000,07:33,19:34
2024-09-26 11:00,50.8534,4.347,288.51,288.43,288.1,289.51,992,89,Clouds,broken clouds,6.69,220,75,10000,07:35,19:32
2024-09-27 11:00,50.8534,4.347,286.58,285.94,285.88,287.68,997,75,Clouds,scattered clouds,9.77,220,40,10000,07:37,19:29
2024-09-28 11:00,50.8534,4.347,284.46,283.87,282.93,285.38,1021,85,Clouds,few clouds,3.6,260,20,10000,07:38,19:27
2024-09-29 11:00,50.8534,4.347,284.12,283.34,283,284.83,1028,79,Clear,clear sky,2.06,160,0,10000,07:40,19:25
2024-09-30 11:00,50.8534,4.347,285.59,285.24,284.74,286.19,1009,90,Clouds,broken clouds,4.63,170,75,8000,07:41,19:23
